"filename", "language", "JavaScript", "JSON with Comments", "MS SQL", "TypeScript", "Markdown", "TypeScript JSX", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\scripts\test-scenario.mjs", "JavaScript", 807, 0, 0, 0, 0, 0, 0, 0, 0, 80, 84, 971
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\(shared)\profile\actions.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 32, 151
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\(shared)\profile\profile-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 20, 356
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\academic-management-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 0, 5, 20, 299
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\analytics\actions.ts", "TypeScript", 0, 0, 0, 177, 0, 0, 0, 0, 0, 2, 42, 221
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\analytics\analytics-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 462, 0, 0, 0, 0, 22, 484
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\circulars\actions.ts", "TypeScript", 0, 0, 0, 227, 0, 0, 0, 0, 0, 11, 47, 285
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\circulars\circulars-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 393, 0, 0, 0, 12, 28, 433
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\circulars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 9, 69
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 9, 100
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\enrollments\actions.ts", "TypeScript", 0, 0, 0, 265, 0, 0, 0, 0, 0, 36, 53, 354
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\enrollments\enrollments-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 626, 0, 0, 0, 30, 50, 706
"d:\IT - 3rd year\IT 4\ibrahim\UniBot\uni_system\unibot-platform\src\app\academic-management\enrollments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 4, 7, 78
