"filename", "language", "XML", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "CSS", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\materials\materials-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 356, 0, 0, 19, 375
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\materials\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 4, 47
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\messages\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 27, 131
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\messages\messages-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 27, 315
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\faculty\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 8, 95
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 12, 95
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 2, 66
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\assignments\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 27, 110
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\assignments\assignments-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 12, 165
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\assignments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\attendance\attendance-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 12, 170
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 53
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 9, 97
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\grades\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 7, 87
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\materials\materials-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 9, 131
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\materials\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\messages\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 26, 129
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\messages\messages-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 27, 315
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\student\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 8, 99
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\announcements\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 15, 65
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\announcements\announcements-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 13, 250
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\announcements\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 9, 92
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 14, 179
"d:\IT - 3rd year\IT 4\ibrahim\التوثيقات\UniBot\unibot-platform\src\app\super-admin\plans\actions.ts", "TypeScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 18, 97
